x_mm,y_mm
158.800,142.600
164.200,142.600
169.600,142.600
175.000,142.600
180.400,142.600
185.800,142.600
191.200,142.600
196.600,142.600
202.000,142.600
207.400,142.600
207.400,137.200
207.400,131.800
202.000,131.800
202.000,137.200
196.600,137.200
196.600,131.800
191.200,131.800
191.200,137.200
185.800,137.200
185.800,131.800
180.400,131.800
180.400,137.200
175.000,137.200
175.000,131.800
169.600,131.800
169.600,137.200
164.200,137.200
158.800,137.200
158.800,131.800
164.200,131.800
164.200,126.400
158.800,126.400
158.800,121.000
164.200,121.000
169.600,121.000
169.600,126.400
175.000,126.400
180.400,126.400
185.800,126.400
191.200,126.400
196.600,126.400
202.000,126.400
207.400,126.400
212.800,126.400
218.200,126.400
218.200,131.800
218.200,137.200
212.800,137.200
212.800,131.800
223.600,131.800
223.600,137.200
229.000,131.800
234.400,131.800
234.400,126.400
229.000,126.400
223.600,126.400
223.600,121.000
218.200,121.000
212.800,121.000
218.200,115.600
223.600,115.600
223.600,110.200
229.000,110.200
229.000,115.600
229.000,121.000
234.400,121.000
239.800,121.000
245.200,121.000
245.200,115.600
239.800,115.600
239.800,110.200
245.200,110.200
250.600,110.200
250.600,104.800
250.600,99.400
245.200,99.400
239.800,99.400
239.800,104.800
245.200,104.800
234.400,104.800
234.400,99.400
229.000,99.400
229.000,104.800
234.400,110.200
234.400,115.600
239.800,126.400
266.800,126.400
272.200,126.400
272.200,131.800
272.200,137.200
266.800,137.200
266.800,131.800
266.800,142.600
272.200,142.600
277.600,142.600
283.000,142.600
288.400,142.600
288.400,137.200
283.000,137.200
277.600,137.200
277.600,131.800
283.000,131.800
288.400,131.800
288.400,126.400
283.000,126.400
277.600,126.400
293.800,126.400
299.200,126.400
299.200,131.800
299.200,137.200
293.800,137.200
293.800,131.800
293.800,142.600
299.200,142.600
304.600,142.600
310.000,142.600
315.400,142.600
315.400,137.200
310.000,137.200
304.600,137.200
304.600,131.800
310.000,131.800
315.400,131.800
315.400,126.400
310.000,126.400
304.600,126.400
304.600,121.000
310.000,121.000
315.400,121.000
315.400,115.600
310.000,115.600
304.600,115.600
304.600,110.200
310.000,110.200
315.400,110.200
315.400,104.800
310.000,104.800
304.600,104.800
304.600,99.400
310.000,99.400
315.400,99.400
315.400,94.000
310.000,94.000
304.600,94.000
304.600,88.600
310.000,88.600
315.400,88.600
315.400,83.200
310.000,83.200
304.600,83.200
304.600,77.800
310.000,77.800
315.400,77.800
315.400,72.400
310.000,72.400
304.600,72.400
304.600,67.000
310.000,67.000
315.400,67.000
315.400,61.600
310.000,61.600
304.600,61.600
304.600,56.200
310.000,56.200
315.400,56.200
315.400,50.800
310.000,50.800
304.600,50.800
304.600,45.400
310.000,45.400
315.400,45.400
315.400,40.000
310.000,40.000
304.600,40.000
299.200,40.000
299.200,45.400
299.200,50.800
299.200,56.200
299.200,61.600
299.200,67.000
299.200,72.400
299.200,77.800
299.200,83.200
299.200,88.600
299.200,94.000
299.200,99.400
299.200,104.800
299.200,110.200
299.200,115.600
299.200,121.000
320.800,121.000
320.800,126.400
326.200,126.400
326.200,131.800
326.200,137.200
320.800,137.200
320.800,131.800
320.800,142.600
326.200,142.600
331.600,142.600
337.000,142.600
342.400,142.600
342.400,137.200
337.000,137.200
331.600,137.200
331.600,131.800
337.000,131.800
342.400,131.800
342.400,126.400
337.000,126.400
331.600,126.400
320.800,115.600
320.800,110.200
320.800,104.800
320.800,99.400
320.800,94.000
320.800,88.600
320.800,83.200
320.800,77.800
320.800,72.400
320.800,67.000
320.800,61.600
320.800,56.200
320.800,50.800
320.800,45.400
320.800,40.000
374.800,67.000
380.200,67.000
380.200,61.600
380.200,56.200
385.600,56.200
391.000,56.200
396.400,56.200
396.400,61.600
391.000,61.600
385.600,61.600
385.600,67.000
391.000,67.000
396.400,67.000
396.400,72.400
391.000,72.400
385.600,72.400
385.600,77.800
391.000,77.800
396.400,77.800
396.400,83.200
391.000,83.200
385.600,83.200
385.600,88.600
391.000,88.600
